qc_id,fid,id monumento,x,y,tipo,km autopista,km tren,clase de monumento,monumentos superiores,ubicación de intervención,intervención en ceros,intervención en ddv,fecha inicio intervención,fecha fin intervención,id arqueólogo(s),área de monumento (m2),cuadros intervenidos,área intervenida (m2),total bolsas de material,estatus de intervención,tipo de intervención,id enlace,tipo de dictaminación,supervisión de maquinaria,tramo,minuta,entrega,icon_url
"39","40",T4_04859,3929522.133,1039010.884,Nivelación,N/A,7101+945,Monumento principal,T4_04860,Derecho de vía tren,No aplica,Si,2022/04/27,2022/04/29,"414",168,11,36,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"40","41",T3_12562,3845806.05,1045228.655,Basamento,N/A,7011+888,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/22,2022/04/27,"405",197,2,8,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"41","42",T3_13437,3845713.445,1045311.467,Basamento,N/A,7011+770,Monumento principal,T3_13438,Ceros tren,Si,No Aplica,2022/04/25,2022/05/06,"419",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"42","43",T3_12565,3845747.397,1045376.14,Cimiento con núcleo,N/A,7011+732,Monumento superior,Asociado al monumento principal T3_12564,Ceros tren,Si,No Aplica,2022/04/20,2022/04/26,"406",28.7,0,0,"28",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"43","44",T3_12701,3845958.123,1044879.348,Cimiento,N/A,7012+270,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/28,,"402",64,15,64,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"44","45",T3_12702,3845945.436,1044885.373,Cimiento con núcleo,N/A,7012+259,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/29,,"402",16,10,40,"1",Intervenido,En proceso,"21023","2",Pendiente,T4,,,./0.png
"45","46",T3_13438,3845702.625,1045314.62,Cimiento con núcleo,N/A,7011+759,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,,,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"46","47",T4_10462,3846047.862,1044646.601,Histórico,N/A,7012+520,Monumento principal,T3_13226,Ceros tren,Si,No Aplica,2022/05/03,2022/05/03,"408",168,2,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"47","48",T4_15060,3845374.523,1045761.41,Afloramiento acondicionado,N/A,7011+197,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/12,2022/04/12,"406",45,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"48","49",T4_04556,4028671.246,1074865.356,Basamento,263+129,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/04/29,2022/05/10,"415",,,,,Intervenido,En proceso,"21023","2",Pendiente,T4,,,./0.png
"49","50",T3_13552,3845976.075,1044805.454,Basamento,N/A,7012+345,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/05/04,2022/05/13,"402",494,29,116,"12",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"50","51",T3_13226,3846053.456,1044637.344,Pozo,N/A,7012+531,Monumento superior,Asociado al monumento principal T4_10462,Ceros tren,Si,No Aplica,2022/04/29,2022/05/03,"408",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"51","52",T4_10239,4029059.608,1075225.411,Terraza,263+666,N/A,Monumento superior,Asociado al monumento principal T4_11345,Derecho de vía Autopista,No aplica,SI,2022/05/02,,"416,418,420",,,,,En proceso,En proceso,"21023","2",Pendiente,T4,,,./1.png
"52","53",T4_04547,4029053.911,1075231.187,Basamento,263+666,N/A,Monumento principal,T4_12326,Derecho de vía Autopista,No aplica,SI,2022/05/02,,"416,418,420",,,,,En proceso,En proceso,"21023","2",Pendiente,T4,,,./1.png
"53","54",T3_13429,3845553.712,1045534.968,Cimiento con núcleo,N/A,7011+487,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/18,2022/04/20,"419",30,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"54","55",T3_13428,3845548.69,1045533.739,Cimiento con núcleo,N/A,7011+485,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/19,2022/04/22,"419",30,1,2,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"55","56",T3_13431,3845692.896,1045364.838,Basamento,N/A,7011+712,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/11,2022/04/28,"410",1156,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"56","57",T3_13427,3845506.452,1045623.9,Chultún,N/A,7011+388,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/11,2022/04/14,"408",8,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"57","58",T3_12557,3845691.151,1045441.175,Basamento,N/A,7011+646,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/05/06,2022/04/28,"402",64,24,48,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"58","59",T3_12550,3845447.889,1045672.604,Basamento,N/A,7011+312,Monumento principal,Sin monumento superior ,Ceros tren,Si,No Aplica,2022/04/11,2022/04/28,"407,408",376.2,55,220,"90",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"59","60",T3_12558,3845778.66,1045314.277,Basamento,N/A,7011+800,Monumento principal,"T3_12559,T3_12560",Ceros tren,Si,No Aplica,,2022/04/29,"401",530,34,136,"58",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"60","61",T3_12564,3845751.199,1045376.139,Basamento,N/A,7011+734,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/12,2022/04/26,"406",286,26,98,"88",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"61","62",T4_16059,3845496.747,1045641.045,Cimiento,N/A,7011+369,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/11,2022/04/14,"408",24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"62","63",T4_15061,3845488.545,1045632.975,Afloramiento acondicionado,N/A,7011+369,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/11,2022/04/14,"408",48,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"63","64",T4_16070,3845558.102,1045553.734,Cimiento,N/A,7011+476,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,,,"419",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"64","65",T4_17026,3963288.927,1051437.861,Cimiento,N/A,7138+208,Monumento superior,Asocialdo al monumento principal T4_10412,Derecho de vía tren,No aplica,Si,2022/04/06,2022/04/26,"414",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"65","66",T4_17025,3963282.251,1051438.481,Cimiento,N/A,7138+202,Monumento superior,Asocialdo al monumento principal T4_10412,Derecho de vía tren,No aplica,Si,2022/04/06,2022/04/26,"414",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"66","67",T4_10414,3963300.898,1051446.03,Cimiento con núcleo,N/A,7138+223,Monumento superior,Asocialdo al monumento principal T4_10412,Derecho de vía tren,No aplica,Si,2022/04/06,2022/04/26,"414",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"67","68",T3_12544,3845078.259,1045978.954,Cimiento con núcleo,N/A,7010+829,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/25,2022/03/27,"409",63.75,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"68","69",T3_13418,3845108.73,1045917.716,Cimiento con núcleo,N/A,7010+885,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/29,2022/04/01,"409",99,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"70","71",T3_13426,3845401.745,1045696.081,Cimiento con núcleo,N/A,7011+260,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/06,2022/04/11,"401",24,4,16,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"71","72",T3_13425,3845408.36,1045704.012,Cimiento con núcleo,N/A,7011+260,Monumento principal,"T4_16064,T4_1603,T4_21003, T4_21004",Ceros tren,Si,No Aplica,2022/04/06,2022/04/11,"401",60,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"72","73",T3_13420,3845172.273,1045902.696,Basamento,N/A,7010+949,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/28,2022/03/31,"404",47,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"73","74",T3_12552,3845487.628,1045654.441,Cimiento con núcleo,N/A,7011+353,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/11,2022/04/14,"408",80,5,20,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"74","75",T3_12548,3845195.427,1045887.523,Cimiento,N/A,7010+976,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/01,2022/04/06,"404",11.696,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"75","76",T4_10412,3963291.938,1051440.149,Nivelación,N/A,7138+212,Monumento principal,"T4_17025,T4_17026,T4_10414,T4_10413",Derecho de vía tren,No aplica,Si,2022/04/06,2022/04/26,"414",380,38,152,"20",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"76","77",T4_10459,3845159.456,1045905.718,Cimiento con núcleo,N/A,7010+937,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/28,2022/03/30,"404",32.175,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"77","78",T4_10458,3845476.948,1045644.894,Cimiento,N/A,7011+352,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/04,2022/04/07,"408",60,5,7,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"78","79",T4_25003,4041048.892,1084205.975,Basamento,N/A,7224+100,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/04/01,2022/04/04,"402",20,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,./0.png
"79","80",T4_23005,4040986.582,1084112.957,Cimiento,N/A,7223+996,Monumento principal,Sin monumento superior ,Derecho de vía tren,No aplica,Si,2022/04/04,,"402",20,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"80","81",T4_10468,3843015.541,1046352.613,Cimiento con núcleo,N/A,7008+721,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/28,2022/04/06,"410",48,9,36,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,./0.png
"81","82",T4_15059,3845353.247,1045751.191,Cimiento con núcleo,N/A,7011+187,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/01,2022/04/04,"406",7.1,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"82","83",T3_13424,3845350.486,1045760.826,Cimiento con núcleo,N/A,7011+179,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/04,2022/04/05,"406",9.24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"83","84",T3_13423,3845352.891,1045766.349,Cimiento con núcleo,N/A,7011+177,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/05,2022/04/07,"406",9.24,1,4,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"84","85",T4_16058,3845371.822,1045758.669,Cimiento con núcleo,N/A,7011+196,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/07,2022/04/06,"406",30,1,4,"2",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"85","86",T4_16057,3845359.525,1045755.696,Cimiento con núcleo,N/A,7011+189,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/04,2022/04/04,"406",24,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"86","87",T3_12543,3845075.297,1045967.416,Cimiento con núcleo,N/A,7010+832,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/24,2022/04/04,"408",48,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"87","88",T3_12546,3845096.635,1045947.926,Basamento,N/A,7010+860,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/25,2022/04/01,"401",780,17,119,"12",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"88","89",T3_13416,3845097.911,1045928.194,Basamento,N/A,7010+871,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/22,2022/03/28,"408",168,2,8,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"89","90",T3_12532,3843874.272,1046226.912,Cimiento con núcleo,N/A,7009+590,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/22,2022/03/24,"403",32,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"90","91",T3_13422,3845149.83,1045890.137,Cimiento con núcleo,N/A,7010+937,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/30,2022/04/06,"405",34,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"91","92",T3_13421,3845158.489,1045890.892,Afloramiento acondicionado,N/A,7010+943,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/31,2022/04/01,"405",27,0,27,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"92","93",T3_12549,3845170.827,1045883.795,Cimiento con núcleo,N/A,7010+958,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/01,2022/04/06,"405",31,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"93","94",T4_16061,3845077.635,1045949.655,Cimiento con núcleo,N/A,7010+842,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/28,2022/04/04,"401",72,6,24,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"94","95",T4_16053,3845074.118,1046007.196,Nivelación,N/A,7010+811,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/22,2022/03/23,"408",96,1,2,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"95","96",T4_19004,3843874.652,1046236.828,Cimiento,N/A,7009+589,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/22,2022/03/24,"403",24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"96","97",T4_19003,3843860.339,1046228.333,Afloramiento acondicionado,N/A,7009+576,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/18,2022/03/23,"403",1344,2,8,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"97","98",T4_23002,4041059.387,1084189.998,Basamento,N/A,7224+099,Monumento superior,Asociado a monumento principal T4_25002,Derecho de vía tren,No aplica,Si,2022/03/25,2022/04/01,"402,415,418",110,2,16,"7",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,./0.png
"98","99",T4_23004,4041143.236,1084245.793,Basamento,N/A,7224+201,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/04/01,2022/04/01,"415",50,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,./0.png
"99","100",T3_12537,3844626.769,1046129.67,Basamento,N/A,7010+352,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/15,2022/03/18,"409",80,25,32,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"100","101",T4_02012,3903012.583,1033071.011,Basamento,N/A,7074+384,Monumento superior,Asociado al monumento principal T4_01016,Derecho de vía tren,No aplica,Si,,2022/03/22,"402,406",12,0,12,,Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0003,,./0.png
"101","102",T3_13083,3844931.459,1046031.492,Terraza,N/A,7010+674,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/18,2022/03/22,"401",36,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"102","103",T3_13085,3845075.722,1045955.729,Cimiento con núcleo,N/A,7010+838,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/25,2022/03/28,"401",36,7,24,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"103","104",T4_15057,3844915.978,1046025.135,Basamento,N/A,7010+662,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/16,2022/03/24,"401",1015.808,12,48,"8",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"104","105",T4_16055,3845063.829,1046011.287,Basamento,N/A,7010+802,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/22,2022/03/25,"409",149.62,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"105","106",T4_16054,3845066.343,1046006.561,Cimiento,N/A,7010+805,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/24,2022/03/25,"409",24,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"106","107",T4_25002,4041062.796,1084188.45,Basamento,N/A,7224+101,Monumento principal,T4_23002,Derecho de vía tren,No aplica,Si,2022/03/25,2022/04/04,"402,415,418",224,4,16,"11",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,./0.png
"107","108",T3_12534,3844464.266,1046166.984,Cimiento con núcleo,N/A,7010+185,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/14,2022/03/15,"406",12,2,6,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,./0.png
"108","109",T4_01011,3907779.677,1034531.955,Cimiento,133+980,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,,,"403",0,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,,MARZO,./0.png
"109","110",T3_12539,3844931.598,1046039.549,Cimiento compuesto,N/A,7010+671,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/16,2022/03/18,"401",24,2,8,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"110","111",T3_12541,3844901.233,1046033.253,Cimiento con núcleo,N/A,7010+645,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/17,2022/03/22,"401",72,9,36,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"111","112",T3_12540,3844904.453,1046038.885,Cimiento compuesto,N/A,7010+646,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/17,2022/03/24,"401",72.21,7,28,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"112","113",T3_13084,3844932.762,1046033.656,Cimiento con núcleo,N/A,7010+674,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/16,2022/03/17,"401",56.58,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,./0.png
"113","114",T3_13411,3844729.782,1046089.461,Montículo Chich,N/A,7010+463,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/16,2022/03/17,"406",24,4,16,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"114","115",T3_13413,3844777.934,1046086.946,Afloramiento acondicionado,N/A,7010+510,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/16,2022/03/18,"406",10.5,4,16,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"115","116",T4_04018,3903013.873,1033068.248,Cimiento con núcleo,N/A,7074+385,Monumento superior,Asociado al monumento principal T4_01016,Derecho de vía tren,No aplica,Si,2022/02/21,2022/03/22,"402,406",12.25,0,12.25,"5",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0003,ABRIL,./0.png
"116","117",T4_05010,3907903.949,1034529.382,Nivelación,134+139,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/18,2022/02/28,"404",780,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,MARZO,./0.png
"117","118",T4_16048,3907589.608,1034499.188,Terraza,133+786,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/11,2022/02/16,"404",70,4,16,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,,MARZO,./0.png
"118","119",T3_12538,3844619.841,1046111.114,Basamento,N/A,7010+349,Monumento superior,Asociado al monumento principal T3_13408,Ceros tren,Si,No Aplica,2022/03/09,2022/03/18,"409",40,2,20,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"119","120",T3_12536,3844611.982,1046131.967,Afloramiento acondicionado,N/A,7010+337,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/10,2022/03/17,"408",36,2,36,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"120","121",T3_13409,3844626.174,1046111.846,Afloramiento acondicionado,N/A,7010+355,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/10,2022/03/17,"408",12,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"121","122",T3_13410,3844655.38,1046111.205,Cimiento,N/A,7010+384,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/11,2022/03/15,"402",12,9,17,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"122","123",T3_13412,3844787.601,1046070.629,Basamento,N/A,7010+524,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/16,2022/03/24,"402",10,13,10,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"123","124",T3_13400,3843825.789,1046208.711,Cimiento con núcleo,N/A,7009+543,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/08,2022/03/15,"403",24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"124","125",T3_13399,3843817.674,1046212.704,Cimiento con núcleo,N/A,7009+534,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/08,2022/03/14,"403",22,3,12,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"125","126",T3_12531,3843808.785,1046218.71,Montículo Chich,N/A,7009+525,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/08,2022/03/14,"403",9.45,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"126","127",T4_19002,3843834.871,1046214.768,Sascabera,N/A,7009+551,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/14,2022/03/15,"403",24,6,24,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"127","128",T3_13407,3844597.194,1046119.917,Cimiento,N/A,7010+325,Monumento superior,Asociado al monumento principal T3_13408,Ceros tren,Si,No Aplica,2022/03/09,2022/03/17,"408",120,1,120,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"128","129",T3_13408,3844604.422,1046114.753,Cimiento con núcleo,N/A,7010+334,Monumento principal,"T3_12538,T3_13407,T3_13409",Ceros tren,Si,No Aplica,2022/03/09,2022/03/16,"408,409",16,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,./0.png
"129","130",T3_12533,3844365.025,1046170.97,Cimiento con núcleo,N/A,7010+100,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/11,2022/03/15,"401",20,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,./0.png
"130","131",T4_20002,3843246.175,1046289.831,Nivelación,N/A,7009+000,Monumento superior,Asociado al monumento principal T4_20001,Ceros tren,Si,No Aplica,2022/02/09,2022/03/10,"402",0,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,./0.png
"131","132",T4_20001,3843244.307,1046281.146,Afloramiento acondicionado,N/A,7009+000,Monumento principal,T4_20002,Ceros tren,Si,No Aplica,2022/03/03,2022/03/10,"402",4,5,6,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,./0.png
"132","133",T3_13395,3842991.216,1046307.207,Basamento,N/A,7008+699,Monumento principal,"T3_12526,T3_12527",Ceros tren,Si,No Aplica,2022/03/09,2022/03/31,"406,407,410",2600,127,508,"243",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,./0.png
"133","134",T3_12528,3842997.881,1046332.152,Cimiento compuesto,N/A,7008+704,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/03/09,2022/03/31,"410",96,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,./0.png
"134","135",T3_12527,3842989.561,1046319.296,Cimiento compuesto,N/A,7008+696,Monumento superior,Asociado al monumento principal T3_13395,Ceros tren,Si,No Aplica,2022/03/14,2022/03/25,"407,410",8.75,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,./0.png
"135","136",T3_12526,3842982.789,1046316.289,Cimiento con núcleo,N/A,7008+690,Monumento superior,Asociado al monumento principal T3_13395,Ceros tren,Si,No Aplica,2022/03/14,2022/03/31,"410,407",14,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,./0.png
