qc_id,fid,id monumento,x,y,tipo,km autopista,km tren,clase de monumento,monumentos superiores,ubicación de intervención,intervención en ceros,intervención en ddv,fecha inicio intervención,fecha fin intervención,id arqueólogo(s),área de monumento (m2),cuadros intervenidos,área intervenida (m2),total bolsas de material,estatus de intervención,tipo de intervención,id enlace,tipo de dictaminación,supervisión de maquinaria,tramo,minuta,entrega,icon_url
"157","158",T4_05003,3907389.211,1034470.234,Cimiento,133+616,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/07,2022/02/09,"402",9.2,0,9.2,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"158","159",T4_02010,3907388.518,1034432.494,Cimiento,133+609,N/A,Monumento superior,Asociado a monumento principal T4_04008,Derecho de vía Autopista,No aplica,SI,2022/02/01,2022/02/10,"404",42,4,16,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"159","160",T4_03015,3907568.115,1034478.538,Cimiento con pretil,133+795,N/A,Monumento superior,Asociado a monumento principal T4_02008,Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/15,"405",12,3,12,"4",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"160","161",T4_05011,3907573.343,1034496.61,Cimiento,133+803,N/A,Monumento superior,Asociado a monumento principal T4_02008,Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/14,"402",0,0,0,"5",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"161","162",T4_04010,3907818.141,1034418.748,Cimiento,N/A,7079+411,Monumento superior,Asociado a monumento principal T4_03005,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/31,"405",0,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"162","163",T4_04037,3904015.867,1033407,Cimiento,130+064,N/A,Monumento superior,Asociado a monumento principal T4_01040,Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/26,"405",4.01,0,4.01,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"163","164",T4_03011,3907535.28,1034352.341,Haltun,N/A,7079+119,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/27,"401",0,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"164","165",T4_05024,3904043.652,1033395.133,Cimiento con pretil,130+088,N/A,Monumento superior,Asociado al monumento principal T4_01040,Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/28,"405",7,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"165","166",T4_01009,3907549.251,1034358.539,Basamento,N/A,7079+134,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,2022/01/27,"401",36,0,36,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,,./0.png
"166","167",T4_01008,3907545.587,1034352.375,Cimiento,N/A,7079+130,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,2022/01/27,"401",40,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,,./0.png
"167","168",T4_05008,3907518.712,1034347.226,Cimiento con pretil,N/A,7079+102,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,2022/01/27,"401",20,1,4,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,,./0.png
"168","169",T4_04038,3904053.045,1033400.139,Cimiento con núcleo,130+098,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/26,"405",14,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"169","170",T4_14196,3934177.257,1039746.264,Cuarto,N/A,7106+684,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/14,2022/01/20,"404",6.66,4,20,"18",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"170","171",T4_01040,3904028.507,1033393.524,Basamento,130+073,N/A,Monumento principal,"T4_05024,T4_04037",Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/28,"405",940,0,940,"1",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"171","172",T4_03003,3908422.09,1034540.261,Chultún,N/A,7080+029,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/18,2022/01/18,"403",2.3,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"172","173",T4_04008,3907415.875,1034437.317,Nivelación,133+637,N/A,Monumento principal,"T4_02010,T4_01013,T4_03017",Derecho de vía Autopista,No aplica,SI,2022/02/01,2022/01/31,"404",79.5,7,28,"9",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
