fid,ID Monumento,Tipo,X,Y,km autopista,km tren,Clase de monumento,Monumentos superiores,Ubicación de intervención,Intervención en ceros,Intervención en DDV,Fecha inicio intervención,Fecha fin intervención,ID Arqueólogo(s),Área de monumento (m2),Cuadros intervenidos,Área intervenida (m2),Total bolsas de material,Estatus de intervención,Tipo de intervención,ID Enlace,Tipo de dictaminación,Supervisión de maquinaria,Tramo,Minuta,ENTREGA,Geomalla,DANI,COMPRO_FECH_FIN,MON SUP RESPUESTAS,subtramo,Reti,Rezago,icon_url
"148",T3_13418,Cimiento con núcleo,3845108.73,1045917.716,N/A,7010+885,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/31,2022/04/01,"409",80.5,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"149",T3_13430,Afloramiento acondicionado,3845676.216,1045417.741,N/A,7011+658,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/06,2022/04/15,"402",24,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"150",T3_13426,Cimiento con núcleo,3845401.745,1045696.081,N/A,7011+260,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/06,2022/04/11,"401",18.45,4,16,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",No Aplica,1. Izamal,,"0",
"151",T3_13425,Cimiento con núcleo,3845408.36,1045704.012,N/A,7011+260,Monumento principal,"T4_16064,T4_1603,T4_21003, T4_21004",Ceros tren,Si,No aplica,2022/04/06,2022/04/11,"401",202.5,12,48,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0","T4_16063, T4_16064, T4_21003, T4_21004,T4_21005",1. Izamal,,"0",
"152",T3_13420,Basamento,3845172.273,1045902.696,N/A,7010+949,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/30,2022/03/31,"404",47,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",T3_13420,1. Izamal,,"0",
"153",T3_12552,Cimiento con núcleo,3845487.628,1045654.441,N/A,7011+353,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/11,2022/04/14,"408",80,5,20,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",Ninguno,1. Izamal,,"0",
"154",T3_12548,Cimiento,3845195.427,1045887.523,N/A,7010+976,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/01,2022/04/06,"404",11.6,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",T3_12548,1. Izamal,,"0",
"155",T4_10412,Nivelación,3963291.938,1051440.149,N/A,7138+212,Monumento principal,"T4_17025,T4_17026,T4_10414,T4_10413",Derecho de vía tren,No aplica,Si,2022/04/06,2022/04/26,"414",380,38,152,"20",Intervenido,Excavado,"21023","2",Pendiente,T4,,DESCARTADO,N/A,,"0","T4_10414,T4_17025,T4_17026,T4_17068",3. Tintal,,"0",
"156",T4_10459,Cimiento con núcleo,3845159.456,1045905.718,N/A,7010+937,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/28,2022/03/30,"404",32.175,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",T4_10459,1. Izamal,,"0",
"157",T4_10458,Cimiento,3845476.948,1045644.894,N/A,7011+352,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/04,2022/04/07,"408",60,5,20,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",Ninguno,1. Izamal,,"0",
"158",T4_25003,Basamento,4041048.892,1084205.975,N/A,7224+100,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/04/01,2022/04/04,"402",20,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,N/A,,"0",,4. Leona Vicario,,"0",
"159",T4_23005,Cimiento,4040986.582,1084112.957,N/A,7223+996,Monumento principal,Sin monumento superior ,Derecho de vía tren,No aplica,Si,2022/04/01,,"402",20,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,,,N/A,,,Sin monumento superior ,4. Leona Vicario,Sin reticula,"3",
"160",T4_10468,Cimiento con núcleo,3843015.541,1046352.613,N/A,7008+721,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/28,2022/04/06,"410",48,7,36,"10",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,N/A,DANI,,,1. Izamal,Sin reticula,"4",
