fid,ID Monumento,Tipo,X,Y,km autopista,km tren,Clase de monumento,Monumentos superiores,Ubicación de intervención,Intervención en ceros,Intervención en DDV,Fecha inicio intervención,Fecha fin intervención,ID Arqueólogo(s),Área de monumento (m2),Cuadros intervenidos,Área intervenida (m2),Total bolsas de material,Estatus de intervención,Tipo de intervención,ID Enlace,Tipo de dictaminación,Supervisión de maquinaria,Tramo,Minuta,ENTREGA,Geomalla,DANI,COMPRO_FECH_FIN,MON SUP RESPUESTAS,subtramo,Reti,Rezago,icon_url
"206",T4_19002,Sascabera,3843834.871,1046214.768,N/A,7009+551,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/14,2022/03/15,"403",24,6,24,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"207",T3_13407,Cimiento,3844597.194,1046119.917,N/A,7010+325,Monumento superior,Asociado al monumento principal T3_13408,Ceros tren,Si,No aplica,2022/03/15,2022/03/17,"408",120,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",T3_03408,1. Izamal,Sin reticula,"4",
"208",T3_13408,Cimiento con núcleo,3844604.422,1046114.753,N/A,7010+334,Monumento principal,"T3_12538,T3_13407,T3_13409",Ceros tren,Si,No aplica,2022/03/09,2022/03/16,"408,409",16,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,,,1. Izamal,,"0",
"209",T3_12533,Cimiento con núcleo,3844365.025,1046170.97,N/A,7010+100,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/11,,"401",20,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,N/A,DANI,"0",T3_12533,1. Izamal,,"2",
"210",T4_20002,Nivelación,3843246.175,1046289.831,N/A,7009+000,Monumento superior,Asociado al monumento principal T4_20001,Ceros tren,Si,No aplica,2022/03/02,2022/03/10,"402",0,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,N/A,DANI,,Asociado al monumento principal T4_20001,1. Izamal,,"0",
"211",T4_20001,Afloramiento acondicionado,3843244.307,1046281.146,N/A,7009+000,Monumento principal,T4_20002,Ceros tren,Si,No aplica,2022/03/02,2022/03/10,"402",4,5,20,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,N/A,DANI,"0",T4_20002,1. Izamal,,"0",
"212",T3_13395,Basamento,3842991.216,1046307.207,N/A,7008+699,Monumento principal,"T3_12526,T3_12527",Ceros tren,Si,No aplica,2022/03/09,2022/04/06,"406,407,410",1343.1,113,84,"29",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,N/A,DANI,"0","T3_12526, T3_12527, T3_12528",1. Izamal,Sin reticula,"4",
"213",T3_12528,Cimiento compuesto,3842997.881,1046332.152,N/A,7008+704,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/09,2022/04/06,"410",96,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,N/A,DANI,,Asociado al monumento principal T3_13395,1. Izamal,Sin reticula,"4",
"214",T3_12527,Cimiento compuesto,3842989.561,1046319.296,N/A,7008+696,Monumento superior,Asociado al monumento principal T3_13395,Ceros tren,Si,No aplica,2022/03/09,2022/04/06,"407,410",8.75,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,N/A,DANI,,Asociado al monumento principal T3_13395,1. Izamal,Sin reticula,"4",
"215",T3_12526,Cimiento con núcleo,3842982.789,1046316.289,N/A,7008+690,Monumento superior,Asociado al monumento principal T3_13395,Ceros tren,Si,No aplica,2022/03/09,2022/04/06,"410,407",14,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,N/A,DANI,,Asociado al monumento principal T3_13395,1. Izamal,Sin reticula,"4",
"216",T3_12529,Nivelación,3843246.031,1046269.901,N/A,7008+957,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/02,2022/03/10,"401",432,20,80,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"217",T3_12530,Nivelación,3843304.913,1046276.321,N/A,7009+016,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/07,2022/03/08,"406",332.5,5,20,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"218",T3_13391,Basamento,3842906.1,1046320.01,N/A,7008+613,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/01,2022/03/07,"409",350,4,16,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",T4_13391,1. Izamal,,"0",
"219",T3_13392,Basamento,3842902.302,1046326.647,N/A,7008+608,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/01,2022/03/07,"408",350,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"220",T3_13393,Cimiento,3842911.321,1046320.531,N/A,7008+618,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/01,,"407",16,4,16,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"4",
"221",T4_17038,Cimiento,3842987.871,1046280.572,N/A,7008+698,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/02,2022/03/04,"403",130,3,12,"9",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"222",T4_16050,Cimiento,3907895.446,1034522.52,134+126,N/A,Monumento superior,Asociado al monumento principal T4_03014,Derecho de vía Autopista,No aplica,SI,2022/02/24,2022/02/23,"404",10.85,7,28,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,"0",Asociado al monumento principal T4_16051,2. Valladolid,,"0",
"223",T4_16051,Basamento,3907912.599,1034546.544,134+147,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/24,2022/02/23,"402,404,405",0,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,"0","T4_04013,T4_16050,T4_16051",2. Valladolid,,"0",
"224",T4_16052,Otro,3907893.2,1034528.559,134+125,N/A,Monumento superior,Asociado al monumento principal T4_03014,Derecho de vía Autopista,No aplica,SI,2022/02/22,2022/02/23,"405",4,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,ABRIL,N/A,,"0",Sin monumento superior ,2. Valladolid,,"0",
"225",T4_04013,Cimiento,3907911.776,1034533.044,134+144,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/24,2022/02/23,"404",10.85,7,28,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,Asociado al monumento principal T4_16051,2. Valladolid,,"0",
"226",T4_03024,Basamento,3916956.385,1037367.73,N/A,7089+060,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/02/25,2022/02/28,"403",1364,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,"0",Sin monumento superior ,2. Valladolid,,"0",
"227",T4_03014,Cimiento,3907899.509,1034531.751,134+132,N/A,Monumento principal,"T4_16052,T4_16050",Derecho de vía Autopista,No aplica,SI,2022/02/21,2022/02/25,"405",175,9,36,"8",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,"0",Sin monumento superior ,2. Valladolid,,"0",
"228",T4_01010,Cimiento,3907892.962,1034538.453,134+127,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/25,2022/02/28,"405",6.44,0,0,"1",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,"0",Sin monumento superior ,2. Valladolid,,"0",
"229",T3_13390,Afloramiento acondicionado,3842813.756,1046331.877,N/A,7008+519,Monumento principal,T3_13389,Ceros tren,Si,No aplica,2022/02/24,2022/03/03,"406",0,4,16,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,N/A,DANI,"0",T4_13389,1. Izamal,,"0",
"230",T3_13389,Cimiento,3842816.945,1046328.821,N/A,7008+523,Monumento superior,Asociado a monumento principal T3_13390,Ceros tren,Si,No aplica,2022/02/24,2022/03/03,"406",40.04,0,0,"9",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MARZO,N/A,DANI,,,1. Izamal,,"0",
"231",T4_01016,Basamento,3903008.971,1033062.855,N/A,7074+378,Monumento principal,"T4_02012,T4_04018",Derecho de vía tren,No aplica,Si,2022/02/07,2022/02/23,"402,406",168,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"232",T4_03004,Cueva,3907433.362,1034437.656,133+654,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/01/31,2022/01/31,"403",1.4,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,,2. Valladolid,,"0",
"233",T4_04007,Cimiento,3907397.132,1034455.98,133+622,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/04,2022/02/08,"402",19.6,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"234",T4_03017,Cimiento,3907393.063,1034440.013,133+615,N/A,Monumento superior,Asociado a monumento principal T4_04008,Derecho de vía Autopista,No aplica,SI,2022/02/04,2022/02/07,"402",7.5,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"235",T4_01013,Cimiento,3907400.489,1034438.986,133+622,N/A,Monumento superior,Asociado a monumento principal T4_04008,Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/09,"402",5.4,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"236",T4_05002,Cimiento,3907398.702,1034470.035,133+626,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/07,2022/02/09,"402",48,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"237",T4_05003,Cimiento,3907389.211,1034470.234,133+616,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/07,2022/02/09,"402",9.2,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"238",T4_02010,Cimiento,3907388.518,1034432.494,133+609,N/A,Monumento superior,Asociado a monumento principal T4_04008,Derecho de vía Autopista,No aplica,SI,2022/02/01,2022/02/10,"404",42,4,16,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"239",T4_03015,Cimiento con pretil,3907568.115,1034478.538,133+795,N/A,Monumento superior,Asociado a monumento principal T4_02008,Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/15,"405",12,3,12,"4",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,,2. Valladolid,,"0",
"240",T4_05011,Cimiento,3907573.343,1034496.61,133+803,N/A,Monumento superior,Asociado a monumento principal T4_02008,Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/14,"402",0,0,0,"5",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,,2. Valladolid,,"0",
"241",T4_04010,Cimiento,3907818.141,1034418.748,N/A,7079+411,Monumento superior,Asociado a monumento principal T4_03005,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/31,"405",0,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"242",T4_04037,Cimiento,3904015.867,1033407,130+064,N/A,Monumento superior,Asociado a monumento principal T4_01040,Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/26,"405",4.01,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"243",T4_03011,Haltun,3907535.28,1034352.341,N/A,7079+119,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/27,"401",0,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"244",T4_05024,Cimiento con pretil,3904043.652,1033395.133,130+088,N/A,Monumento superior,Asociado al monumento principal T4_01040,Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/28,"405",7,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"245",T4_01009,Basamento,3907549.251,1034358.539,N/A,7079+134,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"401",36,0,0,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,,N/A,,,,2. Valladolid,,"5",
"246",T4_01008,Cimiento,3907545.587,1034352.375,N/A,7079+130,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"401",40,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,,N/A,,,,2. Valladolid,,"5",
"247",T4_05008,Cimiento con pretil,3907518.712,1034347.226,N/A,7079+102,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"401",20,1,4,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,,N/A,,,,2. Valladolid,Sin reticula,"5",
"248",T4_04038,Cimiento con núcleo,3904053.045,1033400.139,130+098,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/26,"405",14,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,Sin reticula,"5",
"249",T4_14196,Cuarto,3934177.257,1039746.264,N/A,7106+684,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/14,2022/01/20,"404",6.66,4,16,"18",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"250",T4_01040,Basamento,3904028.507,1033393.524,130+073,N/A,Monumento principal,"T4_05024,T4_04037",Derecho de vía Autopista,No aplica,SI,2022/01/21,2022/01/28,"405",940,0,0,"1",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"251",T4_03003,Chultún,3908422.09,1034540.261,N/A,7080+029,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/18,2022/01/18,"403",2.3,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"252",T4_04008,Nivelación,3907415.875,1034437.317,133+637,N/A,Monumento principal,"T4_02010,T4_01013,T4_03017",Derecho de vía Autopista,No aplica,SI,2022/02/01,2022/01/31,"404",79.5,7,28,"9",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"253",T4_04016,Cimiento,3907362.599,1034419.12,133+581,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/01,2022/02/07,"405",16,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"254",T4_03019,Afloramiento acondicionado,3903918.317,1033297.593,N/A,7075+321,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/21,2022/01/24,"401",66.6,5,20,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,"0",Sin monumento superior ,2. Valladolid,,"0",
"255",T4_03005,Basamento,3907821.354,1034417.905,N/A,7079+414,Monumento principal,T4_04010,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/31,"405",360,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"256",T4_03084,Sascabera,3944036.264,1043438.755,171+891,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/01/19,2022/01/19,"403",143,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,Sin reticula,"0",
"257",T4_01002,Cimiento,3908048.959,1034458.251,N/A,7079+646,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/27,2022/02/02,"403",23.46,5,20,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"258",T4_02044,Nivelación,3934171.049,1039820.177,N/A,7106+697,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/12,2022/01/17,"403",360,10,40,"16",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"259",T4_03083,Nivelación,3934172.017,1039759.95,N/A,7106+682,Monumento principal,T4_14196,Derecho de vía tren,No aplica,Si,2022/01/14,2022/01/20,"404",192,33,132,"62",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"260",T4_03012,Nivelación,3907545.151,1034370.427,N/A,7079+132,Monumento principal,T4_01009,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/27,"401",870,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,N/A,,,,2. Valladolid,,"0",
"261",T4_02008,Nivelación,3907571.429,1034480.654,133+798,N/A,Monumento principal,"T4_03015,T4_05011,T4_16049",Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/16,"405,402",1305,20,80,"17",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,,2. Valladolid,,"0",
"262",T4_04014,Basamento,3907601.341,1034483.479,133+829,N/A,Monumento principal,T4_16047,Derecho de vía Autopista,No aplica,SI,2022/02/14,2022/02/17,"401",720,12,48,"12",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,"0",Sin monumento superior ,2. Valladolid,,"0",
"263",T4_16047,Terraza,3907607.797,1034481.651,133+835,N/A,Monumento superior,Asociado a monumento principal T4_04014,Derecho de vía Autopista,No aplica,SI,2022/02/14,2022/02/17,"406",140,2,8,"8",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,,2. Valladolid,,"0",
"264",T4_16049,Nivelación,3907582.3,1034490.233,133+811,N/A,Monumento superior,Asociado a monumento principal T4_02008,Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/17,"402",0,0,0,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,,2. Valladolid,,"0",
"265",T4_06001,Pozo,3907230.884,1034381.042,133+444,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/03/02,2022/02/03,"403",0.8,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,,,2. Valladolid,,"0",
"266",T4_05015,Basamento,3921352.274,1038779.351,N/A,7093+697,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/02/22,2022/02/24,"401",1200,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,N/A,,"0","T4_03026,T4_01020,T4_21001,T4_21002",2. Valladolid,,"0",
"267",T3_12547,Cimiento,3845094.87,1045945.096,N/A,7010+860,Monumento superior,Asociado al monumento principal T3_12546,Ceros tren,Si,No aplica,2022/03/25,2022/04/01,"401",0,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,,Asociado al monumento principal T3_12546,1. Izamal,,"0",
"268",T3_12559,Cimiento con núcleo,3845784.421,1045313.83,N/A,7011+803,Monumento superior,Asociado al monumeto principal T3_12558,Ceros tren,Si,No aplica,2022/04/13,2022/04/29,"401",24,7,28,"7",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,N/A,DANI,,Asociado al monumento principal T3_12558,1. Izamal,,"0",
"269",T3_12560,Cueva,3845767.099,1045318.288,N/A,7011+790,Monumento superior,Asociado al monumento principal T3_12558,Ceros tren,Si,No aplica,2022/04/13,2022/04/29,"401",20,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,N/A,DANI,,Asociado al monumento principal T3_12558,1. Izamal,,"0",
"270",T4_10413,Haltun,3963303.823,1051451.839,N/A,7138+228,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/04/06,2022/04/26,"414",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,DESCARTADO,N/A,,,,3. Tintal,,"0",
"271",T3_13433,Cimiento con núcleo,3845680.291,1045373.624,N/A,7011+697,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/11,2022/04/28,"410",16,2,8,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,N/A,DANI,,Asociado al monumento principal T3_13431,1. Izamal,Sin reticula,"4",
"272",T3_13432,Cimiento,3845683.849,1045381.228,N/A,7011+693,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/11,2022/04/28,"410",24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,N/A,DANI,,Asociado al monumento principal T3_13431,1. Izamal,Sin reticula,"4",
"273",T4_16042,Cimiento con núcleo,3847089.205,3847089.205,N/A,7014+978,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/26,2022/05/27,"402",20,10,40,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,JUNIO_2,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"274",T4_10451,Cimiento con núcleo,3847079.194,1042431.188,N/A,7014+975,Monumento superior,Asociado a monumento principal T4_10452,Ceros tren,Si,No aplica,2022/05/25,,"402",8,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"275",T4_10450,Cimiento,3847097.034,1042416.341,N/A,7014+996,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/18,,"402",48,12,48,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,JUNIO_2,N/A,DANI,"0",,1. Izamal,Sin reticula,"2",
"276",T4_14171,Terraza,3846849.564,1043000.365,N/A,7014+359,Monumento superior,Asociado al monumento principal T4_04794,Ceros tren,Si,No aplica,2022/05/20,2022/05/23,"408",,0,,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,Asociado al monumento principal T4_04794,1. Izamal,Sin reticula,"2",
"277",T4_14170,Cimiento,3846847.514,1043012.802,N/A,7014+347,Monumento superior,Asociado al monumento principal T4_04794,Ceros tren,Si,No aplica,2022/05/20,2022/05/23,"408",,0,,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,Asociado al monumento principal T4_04794,1. Izamal,Sin reticula,"5",
"278",T4_04796,Basamento,3846880.373,1043011.266,N/A,7014+362,Monumento principal,T4_04797,Ceros tren,Si,No aplica,2022/05/16,,"401",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"279",T4_04795,Terraza,3846857.086,1043008.503,N/A,7014+355,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/16,,"408",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"280",T4_04794,Nivelación,3846851.292,1043012.75,N/A,7014+349,Monumento principal,T4_14170,Ceros tren,Si,No aplica,2022/05/20,2022/05/23,"408",362,2,8,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,"T4_14171,T4_14170",1. Izamal,Sin reticula,"2",
"281",T4_04792,Cimiento con núcleo,3846805.466,1043055.44,N/A,7014+290,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/20,2022/05/23,"401",32,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,JUNIO,N/A,DANI,"0",,1. Izamal,Sin reticula,"2",
"282",T4_04797,Cimiento,3846881.937,1043015.313,N/A,7014+359,Monumento superior,Asociado al monumento principal T4_04796,Ceros tren,Si,No aplica,2022/05/16,,"401",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"283",T4_14173,Cimiento,3846858.664,1042980.801,N/A,7014+381,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"401",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"5",
"284",T4_14178,Cimiento,3846928.176,1042768.337,N/A,7014+604,Monumento superior,Asociado al monumento principal T4_10354,Ceros tren,Si,No aplica,2022/05/19,2022/06/26,"419",28,7,28,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"285",T4_14177,Chultún,3846934.731,1042764.704,N/A,7014+610,Monumento superior,Asociado al monumento principal T4_10354,Ceros tren,Si,No aplica,2022/05/18,2022/06/07,"405,419",16,4,16,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,"0",,1. Izamal,Sin reticula,"2",
"286",T4_04802,Cimiento con núcleo,3846936.918,1042773.627,N/A,7014+603,Monumento superior,Asociado al monumento principal T4_10354,Ceros tren,Si,No aplica,2022/05/18,2022/05/26,"419",36,9,36,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"287",T4_04801,Cimiento con núcleo,3846954.186,1042767.844,N/A,7014+615,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/18,2022/05/25,"419",32,8,32,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
